                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.61497,                0.35056,                0.88733,                 0.9948,                      1,                  0.995,                0.97005,                0.25355,                0.22387,                0.91429,             0.00094887,             0.00094887,             0.00094887
                     76,                 0.5969,                0.34174,                 0.8915,                0.99696,                      1,                  0.995,                0.98662,                0.25892,                0.24847,                0.91893,             0.00094475,             0.00094475,             0.00094475
                     77,                0.61253,                0.33527,                0.89163,                0.92624,                      1,                0.93281,                0.88328,                 0.3322,                0.29082,                0.93076,             0.00094062,             0.00094062,             0.00094062
                     78,                0.62681,                0.34446,                0.89676,                 0.8174,                      1,                0.82307,                0.76647,                0.34897,                 1.6111,                0.93131,              0.0009365,              0.0009365,              0.0009365
                     79,                0.59414,                0.34177,                0.89394,                0.92356,                      1,                 0.9374,                 0.8981,                0.29336,                0.32904,                0.92468,             0.00093238,             0.00093238,             0.00093238
                     80,                0.63375,                0.34641,                0.89796,                0.99316,                      1,                  0.995,                0.91737,                0.48591,                0.31144,                0.96345,             0.00092825,             0.00092825,             0.00092825
                     81,                0.57935,                0.34302,                0.87564,                0.89191,                      1,                0.89989,                0.86621,                0.34612,                0.48626,                0.93667,             0.00092413,             0.00092413,             0.00092413
                     82,                0.59256,                0.33668,                0.88109,                0.90155,                      1,                0.90165,                0.85623,                0.33182,                0.47305,                0.93042,                0.00092,                0.00092,                0.00092
                     83,                 0.5857,                0.35032,                0.89251,                0.96527,                      1,                  0.995,                0.95953,                0.29578,                 0.2709,                0.91877,             0.00091588,             0.00091588,             0.00091588
                     84,                0.59633,                0.34451,                0.88105,                0.84793,                      1,                0.86497,                 0.8404,                0.29571,                0.75044,                0.92928,             0.00091175,             0.00091175,             0.00091175
                     85,                0.56698,                0.32317,                0.87659,                0.99436,                      1,                  0.995,                 0.9602,                0.29818,                0.21595,                0.92839,             0.00090763,             0.00090763,             0.00090763
                     86,                0.56853,                0.33028,                 0.8702,                0.86935,                      1,                0.88743,                 0.8634,                0.24953,                0.46584,                0.92042,              0.0009035,              0.0009035,              0.0009035
                     87,                0.58114,                0.32641,                0.88052,                0.88251,                      1,                0.89135,                0.87421,                0.26509,                0.45117,                0.91656,             0.00089938,             0.00089938,             0.00089938
                     88,                0.54723,                0.32468,                0.87492,                0.99798,                      1,                  0.995,                0.86752,                0.69875,                0.29892,                 1.0133,             0.00089525,             0.00089525,             0.00089525
                     89,                0.57023,                0.33373,                0.88041,                0.99669,                      1,                  0.995,                0.84837,                0.72846,                0.32636,                 1.0341,             0.00089112,             0.00089112,             0.00089112
                     90,                0.60448,                0.33509,                0.88822,                0.98758,                      1,                  0.995,                0.94248,                0.31214,                0.27702,                0.92416,               0.000887,               0.000887,               0.000887
                     91,                 0.5609,                0.32665,                0.87403,                0.99181,                      1,                  0.995,                0.98005,                0.26533,                0.23097,                0.91867,             0.00088288,             0.00088288,             0.00088288
                     92,                0.55437,                0.31504,                0.87469,                0.99645,                      1,                  0.995,                0.96568,                 0.2507,                0.22387,                0.91906,             0.00087875,             0.00087875,             0.00087875
                     93,                0.54809,                0.32225,                0.86252,                0.99668,                      1,                  0.995,                0.96285,                0.28373,                0.22611,                0.92397,             0.00087462,             0.00087462,             0.00087462
                     94,                0.56702,                0.32504,                  0.874,                0.99855,                      1,                  0.995,                0.95797,                0.33155,                0.23739,                0.92639,              0.0008705,              0.0008705,              0.0008705
                     95,                0.55337,                0.31893,                0.87215,                0.99484,                      1,                  0.995,                 0.9551,                 0.2871,                 0.2393,                 0.9214,             0.00086637,             0.00086637,             0.00086637
                     96,                0.56885,                0.33044,                0.87147,                0.99411,                      1,                  0.995,                0.95776,                  0.352,                0.23913,                0.92748,             0.00086225,             0.00086225,             0.00086225
                     97,                0.54517,                0.31128,                0.87181,                 0.9967,                      1,                  0.995,                0.97467,                0.28374,                   0.22,                0.91925,             0.00085813,             0.00085813,             0.00085813
                     98,                0.54511,                0.31059,                0.86182,                0.83218,                      1,                0.84123,                0.79993,                0.26894,                0.77609,                0.91588,               0.000854,               0.000854,               0.000854
                     99,                0.53644,                0.31026,                0.86921,                0.99437,                      1,                  0.995,                0.95835,                0.28961,                0.23281,                0.91706,             0.00084988,             0.00084988,             0.00084988
                    100,                0.51649,                 0.3007,                0.85713,                0.99693,                      1,                  0.995,                0.95496,                0.31351,                0.23919,                0.92156,             0.00084575,             0.00084575,             0.00084575
                    101,                0.52305,                0.30957,                0.85793,                0.90837,                      1,                0.94186,                0.91699,                0.30734,                0.32611,                0.91625,             0.00084162,             0.00084162,             0.00084162
                    102,                0.52264,                0.30002,                0.86395,                0.99693,                      1,                  0.995,                0.97482,                0.26171,                0.19578,                0.91317,              0.0008375,              0.0008375,              0.0008375
